"Parameter","Data_Type","Region","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted"
"VD_SVP_0_21","Blood Flow","Macular",-0.0519333333333335,-2.44448333333333,-2.39255,0.0784095071290045,"No",0.191667684093122,"No"
"PA_SVP_0_21","Blood Flow","Macular",0.561977777777778,-3.25351666666667,-3.81549444444444,0.12242826887302,"No",0.202164037903156,"No"
"PA_ICP_0_21","Blood Flow","Macular",1.58647777777778,-1.72825,-3.31472777777778,0.128649842302008,"No",0.202164037903156,"No"
"VD_ICP_0_21","Blood Flow","Macular",0.354611111111111,-0.735066666666667,-1.08967777777778,0.232829181164304,"No",0.301308352094981,"No"
"PA_DCP_0_21","Blood Flow","Macular",0.997911111111111,-3.0537,-4.05161111111111,0.294066471690714,"No",0.323473118859786,"No"
"PA_Choroid_0_21","Blood Flow","Macular",4.62256666666667,-0.128566666666671,-4.75113333333334,0.646871403135064,"No",0.677674803284353,"No"
"VD_DCP_0_21","Blood Flow","Macular",-0.101555555555556,0.00141666666666677,0.102972222222222,0.890356003259001,"No",0.890356003259001,"No"
"VD_ICP_0_6","Blood Flow","Wide-field",2.35705555555556,-5.62023333333333,-7.97728888888889,0.00300854908674219,"Yes",0.0661880799083283,"No"
"PA_ICP_0_6","Blood Flow","Wide-field",0.509,-1.18713333333333,-1.69613333333333,0.00808157856063751,"Yes",0.0675424055622264,"No"
"VD_SVP_0_6","Blood Flow","Wide-field",2.98813333333333,-9.48971666666667,-12.47785,0.0092103280312127,"Yes",0.0675424055622264,"No"
"PA_SVP_0_6","Blood Flow","Wide-field",0.374588888888889,-1.46471666666667,-1.83930555555556,0.0130114288167486,"Yes",0.0715628584921174,"No"
"VD_DCP_0_6","Blood Flow","Wide-field",0.544055555555556,-1.09203333333333,-1.63608888888889,0.0439500909852606,"Yes",0.148618940612281,"No"
"PA_DCP_0_6","Blood Flow","Wide-field",0.599266666666667,-1.17061666666667,-1.76988333333333,0.0472878447402712,"Yes",0.148618940612281,"No"
"PA_Choroid_0_6","Blood Flow","Wide-field",0.352977777777778,-1.32895,-1.68192777777778,0.12460197181439,"No",0.202164037903156,"No"
"Thickness_OuterRetina_0_21","Thickness","Macular",-6.98635555555555,6.96761666666667,13.9539722222222,0.114290389832204,"No",0.202164037903156,"No"
"Thickness_Retina_0_21","Thickness","Macular",-17.2236444444444,18.8850833333333,36.1087277777778,0.124404072784998,"No",0.202164037903156,"No"
"Thickness_INL_0_21","Thickness","Macular",-1.35244444444445,3.57646666666666,4.92891111111111,0.187773571303006,"No",0.275401237911075,"No"
"Thickness_GCL.IPL_0_21","Thickness","Macular",-2.66721111111111,2.8807,5.54791111111111,0.223807146683013,"No",0.301308352094981,"No"
"Thickness_OuterRetina_0_6","Thickness","Wide-field",-25.5760333333333,18.6280666666667,44.2041,0.0379468539988067,"Yes",0.148618940612281,"No"
"Thickness_Retina_0_6","Thickness","Wide-field",-38.8626777777778,40.1216166666667,78.9842944444444,0.0781077727179086,"No",0.191667684093122,"No"
"Thickness_GCL.IPL_0_6","Thickness","Wide-field",-3.15208888888889,11.10165,14.2537388888889,0.250902455687053,"No",0.306658556950843,"No"
"Thickness_INL_0_6","Thickness","Wide-field",-1.28003333333333,6.25616666666667,7.5362,0.273819143799021,"No",0.317053745451498,"No"
